dataset,classifier,metric,mean,std
LED-display-domain-7digit,GaussianNB,auc_roc,0.9234212347807398,0.04518044167160125
LED-display-domain-7digit,GaussianNB,balanced_accuracy,0.657,0.11395201502560223
LED-display-domain-7digit,GaussianNB,brier_score,0.5645030844514402,0.2157221764934144
LED-display-domain-7digit,GaussianNB,ece,0.2672975779914,0.10434494264689322
LED-display-domain-7digit,GaussianNB,geometric_mean,0.4738322845168959,0.3335013883034119
LED-display-domain-7digit,GaussianNB,log_loss,2.76576314146221,2.1773555418926382
LED-display-domain-7digit,GaussianNB,macro_f1,0.6398206731349145,0.11912272066042688
LED-display-domain-7digit,GaussianNB,mcc,0.6223815759341569,0.11499307765599158
LED-display-domain-7digit,GaussianNB,nb_knn_agreement_rate,,
LED-display-domain-7digit,GaussianNB,predict_time_per_sample_ms,0.12060719999135469,0.06655974957247988
LED-display-domain-7digit,GaussianNB,selected_lambda,,
LED-display-domain-7digit,GaussianNB,weighted_f1,0.6399723887395714,0.11693498569611376
LED-display-domain-7digit,MultinomialNB,accuracy,0.73,0.07071067811865474
LED-display-domain-7digit,MultinomialNB,auc_roc,0.9519536367374017,0.017879649983279504
LED-display-domain-7digit,MultinomialNB,balanced_accuracy,0.7255,0.0769200723534774
LED-display-domain-7digit,MultinomialNB,brier_score,0.532202326179166,0.025362151565780526
LED-display-domain-7digit,MultinomialNB,ece,0.3436171756031253,0.05900185293610675
LED-display-domain-7digit,MultinomialNB,geometric_mean,0.5635622267671292,0.30765859979588467
LED-display-domain-7digit,MultinomialNB,log_loss,1.1539907337789777,0.09290747454371076
LED-display-domain-7digit,MultinomialNB,macro_f1,0.7186069763569763,0.08067643710930157
LED-display-domain-7digit,MultinomialNB,mcc,0.703634870476255,0.07879228037311066
LED-display-domain-7digit,MultinomialNB,nb_knn_agreement_rate,,
LED-display-domain-7digit,MultinomialNB,predict_time_per_sample_ms,0.00645559999247775,0.0018675261871806779
LED-display-domain-7digit,MultinomialNB,selected_lambda,,
LED-display-domain-7digit,MultinomialNB,weighted_f1,0.7234096903096903,0.07552295355147154
LED-display-domain-7digit,NB+kNN-Ensemble,accuracy,0.688,0.09052930771609571
LED-display-domain-7digit,NB+kNN-Ensemble,auc_roc,0.9415751952924246,0.03722174173144453
